engine,W,V,median_ms,cycles_per_tuple,instr_per_tuple,IPC,L1miss_per_tuple,LLCmiss_per_tuple,memstall_per_tuple
v,2,64,151.124,70.105,183.475,2.617,0.730,0.594,8.083
v,2,128,141.323,65.355,174.947,2.677,0.883,0.597,5.030
v,2,256,135.388,62.576,170.813,2.730,1.738,0.598,5.411
v,2,512,133.342,61.838,169.069,2.734,2.585,0.598,5.545
v,2,1024,133.728,61.883,167.965,2.714,3.109,0.598,5.874
v,2,2048,134.839,62.326,167.405,2.686,4.700,0.598,5.897
v,2,4096,134.791,62.182,167.169,2.688,5.320,0.598,5.935
v,2,8192,134.561,62.095,166.932,2.688,5.414,0.605,5.960
v,2,16384,136.470,62.895,167.167,2.658,5.380,0.647,6.599
v,4,64,180.850,83.735,228.552,2.729,0.787,0.597,5.681
v,4,128,173.580,80.282,218.362,2.720,1.161,0.597,5.972
v,4,256,165.565,76.622,213.283,2.784,2.386,0.598,6.172
v,4,512,161.742,74.856,210.706,2.815,3.176,0.598,5.807
v,4,1024,161.562,74.800,209.341,2.799,3.924,0.598,6.268
v,4,2048,163.102,75.468,208.854,2.767,6.814,0.597,6.208
v,4,4096,162.966,75.411,208.069,2.759,7.415,0.600,6.274
v,4,8192,162.751,75.269,208.054,2.764,7.517,0.610,6.234
v,4,16384,186.040,85.823,208.618,2.431,7.524,0.662,15.980
v,8,64,246.572,114.324,319.658,2.796,1.044,0.597,7.067
v,8,128,236.711,109.652,305.364,2.785,1.853,0.597,7.778
v,8,256,225.842,104.694,298.258,2.849,3.648,0.598,7.594
v,8,512,217.254,100.544,294.759,2.932,4.363,0.597,6.319
v,8,1024,214.935,99.530,292.898,2.943,5.345,0.597,6.565
v,8,2048,218.568,101.172,291.999,2.886,11.117,0.599,6.495
v,8,4096,217.921,100.819,291.405,2.890,11.689,0.600,6.319
v,8,8192,219.273,101.183,291.519,2.881,11.778,0.611,6.786
v,8,16384,220.666,101.596,291.661,2.871,11.722,0.632,6.935
v,16,64,371.265,171.968,501.152,2.914,2.184,0.598,9.559
v,16,128,372.745,172.408,478.773,2.777,4.931,0.598,13.185
v,16,256,338.758,156.748,467.747,2.984,6.559,0.597,9.090
v,16,512,328.134,151.732,461.310,3.040,6.536,0.596,7.242
v,16,1024,321.657,148.976,459.194,3.082,8.151,0.597,7.050
v,16,2048,328.824,152.474,458.340,3.006,19.642,0.599,7.226
v,16,4096,329.562,152.265,457.470,3.004,20.250,0.607,7.247
v,16,8192,332.200,153.289,457.151,2.982,20.264,0.627,7.649
v,16,16384,333.629,153.320,457.155,2.982,20.185,0.640,7.803
v,32,64,639.559,295.794,865.120,2.925,9.523,0.598,20.793
v,32,128,625.824,289.915,826.171,2.850,12.334,0.596,22.416
v,32,256,567.172,262.532,807.203,3.075,11.301,0.598,12.861
v,32,512,545.230,252.371,797.707,3.161,10.981,0.598,9.502
v,32,1024,535.881,248.013,792.721,3.196,13.388,0.598,8.303
v,32,2048,549.578,254.340,790.243,3.107,36.781,0.601,8.545
v,32,4096,576.311,266.436,789.314,2.962,37.271,0.647,18.091
v,32,8192,554.223,255.451,789.656,3.091,37.234,0.635,8.467
v,32,16384,557.018,256.921,786.753,3.062,37.081,0.651,8.735
v,64,64,1177.536,546.307,1591.603,2.913,28.712,0.601,45.640
v,64,128,1117.336,517.044,1520.569,2.941,23.596,0.600,34.385
v,64,256,1046.619,485.392,1485.716,3.061,20.917,0.597,28.308
v,64,512,1000.948,464.536,1467.142,3.158,19.838,0.599,21.553
v,64,1024,981.464,454.670,1458.843,3.209,22.894,0.599,18.645
v,64,2048,1010.712,467.594,1455.394,3.113,70.750,0.626,14.884
v,64,4096,1011.660,466.478,1454.193,3.117,71.373,0.630,13.677
v,64,8192,1004.600,463.531,1450.251,3.129,71.058,0.651,11.348
v,64,16384,1023.052,469.355,1451.983,3.094,70.998,0.935,14.373
